date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2010-01-28,-1,-13,1.0,1.0,1,90,03:44 PM,06:09 AM,07:29 AM,05:28 PM,-9,-13,-6,-13,45,89,84,3.1,1022,-1,2,273,25,Northern and Central California,0
2009-12-10,-3,-12,0.0,1.0,1,37,01:30 AM,12:56 PM,07:28 AM,04:48 PM,-11,-15,-6,-15,55,85,71,0.0,1010,-3,2,265,32,Northern California,0
2009-12-11,3,-4,0.0,9.0,2,30,02:53 AM,01:08 PM,07:47 AM,04:19 PM,-8,-2,-1,-2,9,4,67,0.0,1013,3,10,108,4,Tacoma,0
2009-12-12,8,2,0.0,9.0,2,23,03:26 AM,01:53 PM,07:08 AM,04:48 PM,-4,2,5,2,20,12,49,0.0,1034,8,10,183,14,Virginia,0
2009-12-09,27,13,0.0,11.0,4,45,12:15 AM,12:33 PM,06:24 AM,05:39 PM,14,20,20,20,13,27,75,0.0,1012,27,7,242,5,Alberta,0
2009-12-08,5,-1,0.0,9.0,2,52,No moonrise,11:46 AM,07:08 AM,04:29 PM,0,-1,2,-1,19,18,86,0.0,1025,5,10,243,11,Newark,0
2009-12-07,5,-4,0.0,1.0,1,59,10:58 PM,11:13 AM,06:47 AM,04:40 PM,1,-2,2,-2,33,81,89,14.9,1004,5,6,240,19,California,0
2009-10-13,22,16,0.0,10.0,4,30,01:58 AM,03:47 PM,07:10 AM,06:30 PM,15,19,20,19,26,38,77,0.0,1018,22,9,230,17,Virginia,0
2009-07-21,25,15,0.0,15.0,4,0,05:09 AM,08:28 PM,05:59 AM,08:37 PM,15,20,20,20,14,22,76,0.3,1019,25,10,93,8,Pennsylvania,0
2009-06-12,27,23,0.0,11.0,5,60,11:49 PM,09:57 AM,05:44 AM,08:23 PM,21,27,27,24,24,43,85,7.8,1009,27,10,222,13,Virginia,0
2009-06-13,22,15,0.0,8.0,4,52,No moonrise,10:42 AM,05:24 AM,08:28 PM,17,19,19,19,15,65,92,2.8,1013,22,9,102,7,New York,0
2009-03-08,24,19,0.0,12.0,6,81,04:08 PM,04:53 AM,06:37 AM,06:24 PM,18,21,22,21,28,23,81,0.0,1017,24,10,164,16,Texas,0
2008-11-11,27,12,0.0,11.0,5,93,04:14 PM,04:22 AM,06:09 AM,05:37 PM,14,19,19,19,10,22,79,0.0,1013,27,7,95,3,Alberta,0
2008-11-07,13,4,0.0,10.0,2,62,01:32 PM,No moonset,06:27 AM,04:34 PM,3,6,9,6,28,33,65,0.0,1007,13,10,213,17,Michigan,0
2008-09-22,23,12,0.0,12.0,4,39,No moonrise,03:23 PM,07:03 AM,07:12 PM,12,16,17,16,17,39,77,0.0,1027,23,7,58,9,Northern and Central California,0
2008-08-16,27,17,0.0,13.0,5,100,07:48 PM,05:42 AM,06:08 AM,07:52 PM,15,21,22,21,13,27,71,0.3,1014,27,10,267,7,New York,0
