id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KADM0,Ardmore / Gene Autry,US,OK,,KADM,34.3043,-97.0206,237.0,America/Chicago,2006-01-01,2023-12-13,2006-03-31,2022-04-24,2020-01-01,2022-01-01
KCJR0,Culpeper / Elkwood,US,VA,,KCJR,38.5255,-77.8596,96.0,America/New_York,2006-01-01,2023-12-13,2006-01-04,2022-04-24,2010-01-01,2022-01-01
72443,Quincy / Burton,US,IL,72443,KUIN,39.9429,-91.1946,234.0,America/Chicago,1973-01-01,2023-12-13,1948-06-01,2023-12-05,1948-01-01,2022-01-01
MDSMM,Roy,US,MT,,K1OM,47.3,-108.9,1086.0,America/Denver,2022-04-28,2023-12-12,,,,
KSVN0,Savannah / Southside Mobile Estates,US,GA,,KSVN,32.01,-81.146,13.0,America/New_York,2006-01-01,2023-12-13,2006-01-02,2022-04-24,2014-01-01,2021-01-01
U1K6U,Juliett,US,MT,,K1JM,47.7515,-111.5467,1152.0,America/Denver,2022-05-06,2023-12-12,,,,
KCRS0,Corsicana / Mildred,US,TX,,KCRS,32.0281,-96.4006,137.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KMBS0,Saginaw / Falconview Estates Mobile Home Park,US,MI,,KMBS,43.5329,-84.0796,204.0,America/Detroit,1973-01-01,2023-12-13,1973-01-01,2022-04-24,1974-01-01,2022-01-01
72209,Ft. Stewart,US,GA,72209,KLHW,31.8833,-81.5667,14.0,America/New_York,2006-01-03,2023-12-13,1967-02-01,2022-04-24,1967-01-01,2022-01-01
72691,North Bend,US,OR,72691,KOTH,43.4169,-124.247,5.0,America/Los_Angeles,1977-01-01,2023-12-13,1977-02-26,2022-04-25,1981-01-01,2022-01-01
VMR5B,San Saba County Municipal Airport,US,TX,,K81R,31.2357,-98.7177,382.0,America/Chicago,2022-05-06,2023-12-13,,,,
KCLL0,College Station / Spear,US,TX,,KCLL,30.5886,-96.3638,98.0,America/Chicago,2005-01-01,2023-12-13,2005-01-01,2022-04-24,2005-01-01,2022-01-01
KMEH0,Meacham,US,OR,,KMEH,45.5167,-118.4,1236.0,America/Los_Angeles,1973-01-01,2023-12-13,1973-01-01,2022-04-24,1977-01-01,2021-01-01
72253,San Antonio International  Airport,US,TX,72253,KSAT,29.5333,-98.4667,247.0,America/Chicago,1946-08-14,2023-12-13,1946-08-14,2023-12-05,1946-01-01,2022-01-01
74777,Hurlburt Field,US,FL,74777,KHRT,30.4167,-86.6833,12.0,America/Chicago,1955-07-05,2023-12-13,1955-07-01,2022-04-25,1955-01-01,2021-01-01
KSDY0,Sidney / Wagon Wheel Trailer Court,US,MT,,KSDY,47.7069,-104.1926,605.0,America/Denver,2006-01-01,2023-12-13,2006-01-01,2022-04-23,2006-01-01,2022-01-01
KHDE0,Holdrege / Dewaynes Trailer Court,US,NE,,KHDE,40.4521,-99.3365,705.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2007-01-01,2022-01-01
KHYS0,Hays / Buffalo Hills Mobile Home Park,US,KS,,KHYS,38.8422,-99.2732,609.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2008-01-01,2021-01-01
70341,Homer / Municipal,US,AK,70341,PAHD,59.6333,-151.5,24.0,America/Juneau,1973-01-01,2023-11-05,1932-09-01,2023-12-08,1932-01-01,2022-01-01
KLRU0,Las Cruces / Fairacres,US,NM,,KLRU,32.2894,-106.922,1358.0,America/Denver,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
72502,Newark Airport,US,NJ,72502,KEWR,40.6833,-74.0,5.0,America/New_York,1973-01-01,2023-12-13,1893-01-01,2023-12-05,1893-01-01,2022-01-01
KSLJ0,Camp Shelby / McLaurin,US,MS,,KSLJ,31.1738,-89.1912,85.0,America/Chicago,2011-05-12,2020-09-08,2011-05-13,2011-05-13,,
KONL0,O'neill / Douthit Trailer Court,US,NE,,KONL,42.4695,-98.6873,620.0,America/Chicago,2006-01-01,2023-12-13,2006-01-03,2022-04-24,2007-01-01,2022-01-01
72908,Ruby,US,AK,72908,PARY,64.7272,-155.4699,201.0,America/Juneau,2006-10-24,2023-12-13,2006-10-25,2022-04-24,2007-01-01,2021-01-01
KOXR0,Oxnard,US,CA,,KOXR,34.2008,-119.2072,14.0,America/Los_Angeles,1944-04-01,2023-12-13,1944-04-02,2022-04-24,1944-01-01,2022-01-01
KMWC0,Milwaukee / Butler,US,WI,,KMWC,43.1104,-88.0344,227.0,America/Chicago,1973-01-01,2023-12-13,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KSWW0,Sweetwater / Avenger Village,US,TX,,KSWW,32.4674,-100.4666,725.0,America/Chicago,2006-07-20,2023-12-13,2011-02-09,2022-04-24,2014-01-01,2022-01-01
KLNR0,Lone Rock,US,WI,,KLNR,43.2119,-90.1798,219.0,America/Chicago,1973-01-01,2023-12-13,2004-01-03,2022-04-24,2005-01-01,2022-01-01
KIOW0,Iowa City / Baculis Mobile Home Park,US,IA,,KIOW,41.6398,-91.5481,204.0,America/Chicago,1997-01-23,2023-12-13,1997-02-13,2022-04-24,2005-01-01,2021-01-01
KEGI0,Duke Fld / Killingsworth Crossroads,US,FL,,KEGI,30.6503,-86.5229,59.0,America/Chicago,1949-09-08,2023-12-13,1949-09-09,2022-04-25,2009-01-01,2021-01-01
V83LW,Ruby Valley Field Airport,US,MT,,KRVF,45.5354,-112.3023,1459.0,America/Denver,2022-04-23,2023-12-13,2022-04-23,2022-04-25,,
KBMI0,Bloomington/Normal Airport / Colonial Meadows,US,IL,,KBMI,40.4771,-88.9159,266.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
