date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-03-24,11,3,0.0,8.0,2,3,05:41 AM,05:06 PM,06:58 AM,07:18 PM,3,5,7,5,20,71,78,6.9,1002,11,7,126,10,Georgia
2008-12-17,23,14,0.0,11.0,5,64,11:04 PM,10:53 AM,06:28 AM,05:42 PM,14,18,19,18,26,31,79,0.3,1016,23,10,74,10,Alberta
2011-12-28,11,7,0.0,1.0,2,19,10:07 AM,09:28 PM,07:56 AM,04:26 PM,9,7,10,7,39,85,96,24.5,1009,11,7,197,19,Tacoma
2008-10-28,5,2,0.0,1.0,1,0,07:13 AM,05:33 PM,07:27 AM,06:04 PM,2,-2,3,-2,54,97,95,27.4,1003,5,7,292,28,Southeastern%20Michigan
2012-05-21,25,16,0.0,12.0,5,0,06:05 AM,07:19 PM,05:39 AM,06:32 PM,16,20,21,20,10,57,73,5.2,1013,25,9,162,3,Alberta
2010-08-28,27,22,0.0,12.0,5,72,09:13 PM,10:09 AM,06:31 AM,07:38 PM,18,26,26,24,15,22,68,0.1,1021,27,10,94,9,Virginia
2014-06-06,24,15,0.0,15.0,5,58,01:46 PM,01:24 AM,05:34 AM,08:28 PM,14,19,20,19,18,8,73,0.0,1013,24,10,324,10,Southeastern%20Michigan
2008-08-18,29,15,0.0,14.0,6,85,08:50 PM,08:13 AM,06:25 AM,08:05 PM,12,22,22,22,19,22,58,0.0,1014,29,10,256,10,Pennsylvania
2009-10-06,25,13,0.0,11.0,5,80,07:18 PM,09:22 AM,07:03 AM,06:34 PM,10,18,18,18,16,23,64,0.0,1017,25,10,266,7,Georgia
2011-09-23,16,9,0.0,7.0,3,14,01:59 AM,04:17 PM,06:36 AM,06:43 PM,9,12,12,12,12,30,81,0.8,1017,16,10,215,5,Michigan
2013-06-17,22,11,0.0,16.0,4,61,02:32 PM,01:14 AM,05:13 AM,09:09 PM,11,16,17,16,14,32,77,1.4,1016,22,7,221,6,Tacoma
2013-06-12,32,19,0.0,15.0,7,23,09:15 AM,10:53 PM,05:37 AM,08:07 PM,5,24,24,25,27,7,28,0.0,1013,32,10,253,17,California
