,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
1373,Hurricane Katrina,2005,8/29/2005,8/30/2005,Entergy Corporation,"Buras, Louisiana",SPP,,"1.1 million and 100,000 gas customers","severe weather, hurricane/tropical storm",06:00:00,06:00:00
1374,Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,2005,8/29/2005,9/7/2005,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency",07:10:00,15:00:00
1375,Hurricane Katrina,2005,8/29/2005,8/29/2005,Louisiana Generating,East and Southeast Louisiana,SPP,300,"143,000","severe weather, hurricane/tropical storm",01:10:00,12:42:00
1376,Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,9/8/2005,City of Lakeland,"City of Lakeland, Florida",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",17:00:00,00:01:00
1377,Hurricane Katrina,2005,8/29/2005,9/10/2005,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,"323,529","severe weather, hurricane/tropical storm",15:50:00,12:00:00
1378,Hurricane Katrina,2005,8/29/2005,8/29/2005,Southern Company,"Alabama, Florida, Mississippi",SERC,"5,120","512,049","severe weather, hurricane/tropical storm",07:10:00,22:00:00
1379,CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,8/25/2005,Southern California Edison Company,Southern California,WECC,864,"409,000","load shedding, transmission interruption",15:51:00,20:00:00
1380,CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,8/25/2005,California ISO,Southern California,WECC,-,-,"load shedding, public appeal",15:50:00,20:00:00
1381,Severe Thunderstorms,2005,8/20/2005,8/20/2005,American Electric Power -AEP West,Northwest Arkansas,ECAR,650,"50,797","severe weather, thunderstorm",14:15:00,16:21:00
1382,Voltage Reduction/Load Shed,2005,8/19/2005,8/19/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,"71,864","voltage reduction, load shedding",19:37:00,20:15:00
1383,Plant Tripped,2005,8/8/2005,8/8/2005,Crockett Cogeneration,"San Francisco Bay area, California",WECC,240,PG&E,equipment failure,12:38:00,16:00:00
1384,Voltage Reduction/Load Shed,2005,8/1/2005,8/1/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,175,"47,116","voltage reduction, load shedding",10:28:00,10:47:00
1385,Severe Thunderstorm,2005,7/28/2005,8/1/2005,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,300,"52,200","severe weather, thunderstorm",20:30:00,17:00:00
1386,Severe Thunderstorms,2005,7/27/2005,7/28/2005,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,,"93,837","severe weather, thunderstorm",16:50:00,21:24:00
1387,Severe Thunderstorm,2005,7/27/2005,7/30/2005,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,,"64,943","severe weather, thunderstorm",17:50:00,21:07:00
1388,Severe Thunderstorms,2005,7/27/2005,7/29/2005,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,,"87,600","severe weather, thunderstorm",18:00:00,16:00:00
1389,Severe Thunderstorms,2005,7/23/2005,7/26/2005,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,,"55,118","severe weather, thunderstorm",01:02:00,10:50:00
1390,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,7/22/2005,Southern California Edison Company,Southern California,WECC,206,"133,900",load shedding,13:55:00,18:00:00
1391,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/21/2005,7/21/2005,Southern California Edison Company,Southern California,WECC,197,"128,050",load shedding,14:39:00,17:30:00
1392,Hurricane Dennis,2005,7/10/2005,7/12/2005,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,45,"228,102","severe weather, hurricane/tropical storm",08:00:00,08:00:00
1393,Hurricane Dennis,2005,7/10/2005,7/11/2005,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,51.2,"50,000","severe weather, hurricane/tropical storm",12:53:00,17:33:00
1394,Tropical Storm Cindy,2005,7/5/2005,7/6/2005,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,unknown,"287,000","severe weather, hurricane/tropical storm",21:00:00,09:00:00
1395,Load Shedding,2005,7/2/2005,7/2/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,226,"132,290",load shedding,01:27:00,01:46:00
1396,Fuel Supply - Deficiency Coal Rail Transporation Interruption,2005,7/1/2005,Ongoing,Southwestern Public Service Company,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,0,0,"fuel supply emergency, coal",,
1397,Strong Thunderstorm/High Winds,2005,6/29/2005,7/4/2005,DTE Energy,Southeast  Michigan,ECAR,"1,000","114,711","severe weather, thunderstorm",16:30:00,23:30:00
1398,Fuel Supply Deficiency/Coal Rail Transportation Interruption,2005,6/28/2005,Ongoing,Public Service Company of Colorado,Denver Metropolitan area of Colorado,WECC,0,0,"fuel supply emergency, coal",11:30:00,
1399,Transmission Equipment Failure,2005,6/24/2005,6/24/2005,Commonwealth Edison Company,"Chicago, Illinois",MAIN,350,"51,500","equipment failure, transmission interruption",20:37:00,23:06:00
1400,Voltage Reduction,2005,6/20/2005,6/20/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,35,"600,000",voltage reduction,11:16:00,17:15:00
1401,Strong Thunderstorm,2005,6/8/2005,6/10/2005,Xcel Energy - Northern States Power,Minnesota,MRO,50-100,"300,000","severe weather, thunderstorm",04:00:00,22:00:00
1402,Strong Thunderstorms,2005,6/6/2005,6/8/2005,New York  State Electric and Gas,Central/Eastern New York state,NPCC,,"65,000","severe weather, thunderstorm",12:00:00,18:00:00
1403,Strong Thunderstorm,2005,6/6/2005,6/7/2005,PECO Energy,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",MAAC,,"143,000","severe weather, thunderstorm",16:43:00,22:00:00
1404,Strong Thunderstorm/High Winds,2005,6/5/2005,6/10/2005,DTE Energy,Southeast  Michigan,ECAR,"1,826","201,580","severe weather, thunderstorm",14:00:00,07:30:00
1405,Strong Thunderstorm,2005,6/5/2005,6/7/2005,Consumers Energy,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,ECAR,50-60,"105,000","severe weather, thunderstorm",14:00:00,18:00:00
1406,Strong Thunderstorms,2005,5/29/2005,5/30/2005,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,328,"123,000","severe weather, thunderstorm",20:00:00,02:30:00
1407,Voltage Reduction,2005,5/11/2005,5/11/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,529,,voltage reduction,19:00:00,20:31:00
1408,Strong Thunderstorms,2005,5/8/2005,5/8/2005,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,672,"243,000","severe weather, thunderstorm",15:00:00,22:00:00
1409,Thunderstorms,2005,4/30/2005,4/30/2005,Southern Company,Alabama and Georgia,SERC,100,"51,808","severe weather, thunderstorm",08:00:00,10:00:00
1410,Winter Storm,2005,4/23/2005,4/27/2005,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,,"150,000","severe weather, winter storm",06:00:00,06:00:00
1411,Voltage Reduction,2005,4/23/2005,4/23/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,345,"116,552",voltage reduction,04:22:00,04:48:00
1412,Lightning Strike,2005,4/22/2005,4/22/2005,Crockett Cogeneration,"San Francisco Bay area, California",WECC,126,PG&E,"severe weather, thunderstorm",15:51:00,15:59:00
1413,Winter Storm,2005,4/1/2005,4/6/2005,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,,"211,000","severe weather, winter storm",00:00:00,12:00:00
1414,Wind Storms,2005,3/8/2005,3/8/2005,Progress Energy - Carolinas,Eastern and Central North Carolina,SERC,180,"51,600","severe weather, wind",11:00:00,15:00:00
1415,Voltage Reduction,2005,2/24/2005,2/24/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,200,,voltage reduction,00:58:00,01:05:00
1416,Generator Loss/Voltage Reduction,2005,2/18/2005,2/18/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,648,"372,288","equipment failure, voltage reduction",08:16:00,08:41:00
1417,Load Shedding,2005,2/16/2005,2/16/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,325,"139,438",load shedding,13:26:00,13:43:00
1418,Generator Loss,2005,2/15/2005,2/15/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,380,,equipment failure,13:12:00,13:30:00
1419,Voltage Reduction,2005,2/1/2005,2/1/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,,voltage reduction,,18:01:00
1420,Ice Storm,2005,1/29/2005,1/30/2005,Georgia System Operations Corporation (GSOC),Georgia,SERC,65 to 100,"82,000","severe weather, winter storm",16:00:00,15:00:00
1421,Ice Storm,2005,1/29/2005,1/31/2005,Southern Company,Parts of Alabama and Georgia,SERC,100,"150,000","severe weather, winter storm",10:00:00,10:00:00
1422,Voltage Reduction/Shed Load,2005,1/24/2005,1/24/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,225,"70,717","load shedding, voltage reduction",06:38:00,06:50:00
1423,Voltage Reduction/Shed Load,2005,1/24/2005,1/24/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,385,,"load shedding, voltage reduction",12:27:00,12:34:00
1424,Voltage Reduction,2005,1/23/2005,1/23/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,,voltage reduction,10:42:00,11:24:00
1425,Voltage Reduction,2005,1/19/2005,1/19/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,209,,voltage reduction,09:17:00,09:27:00
1426,Winter Storm,2005,1/7/2005,1/10/2005,Pacific Gas and Electric Company,Northern California,WECC,120,"442,000","severe weather, winter storm",13:00:00,08:00:00
1427,Ice Storm,2005,1/5/2005,1/13/2005,Ohio Edison/First Energy,Akron and Mansfield areas,ECAR,250,"246,990","severe weather, winter storm",16:00:00,18:00:00
1428,Winter Ice Storm,2005,1/5/2005,1/16/2005,American Electric Power,Indiana Michigan Region - Muncie District,ECAR,545,"114,791","severe weather, winter storm",21:10:00,11:00:00
1429,Winter Storm,2005,1/4/2005,1/14/2005,Westar Energy,Eastern one third of the state of Kansas,SPP,200,"211,000","severe weather, winter storm",18:00:00,12:00:00
1430,Severe Weather/Line Relayed,2004,12/27/2004,12/27/2004,Pacific Gas and Electric  Company,"Salinas, California and surrounding communities",WECC,100,"95,000",severe weather,07:50:00,10:50:00
1431,Major Freezing Rain and Ice Storm,2004,12/23/2004,12/31/2004,American Electric Power,Columbus District,ECAR,800,"359,171","severe weather, winter storm",03:37:00,23:00:00
1432,High Winds,2004,12/1/2004,12/2/2004,Baltimore Gas & Electric Company,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,270,"122,000","severe weather, wind",10:00:00,23:59:00
1433,Heavy Rain and Wind Storm,2004,12/1/2004,12/2/2004,Exelon (PECO Energy),"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",MAAC,-,"105,312","severe weather, storm",07:30:00,22:09:00
1434,Strong Thunderstorms,2004,11/24/2004,11/24/2004,Southern Company,Georgia,SERC,100,"83,450","severe weather, thunderstorm",10:00:00,16:00:00
1435,Strong Thunderstorms,2004,11/23/2004,11/24/2004,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,150,"119,000","severe weather, thunderstorm",22:00:00,01:00:00
1436,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",2004,11/14/2004,11/15/2004,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,165,"165,000","severe weather, winter storm",04:55:00,01:31:00
1437,Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,2004,11/9/2004,11/12/2004,Keyspan Energy,"Sayreville, New Jersey Long Island, New York",NPCC,0,0,"fuel supply emergency, natural gas",14:15:00,13:07:00
1438,Severe Storm with High Wind Gusts,2004,10/30/2004,11/1/2004,Consumers Energy,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",ECAR,60,"122,000","severe weather, wind",10:00:00,18:00:00
1439,High Wind Gusts,2004,10/30/2004,11/3/2004,DTE Energy,Southeastern Michigan,ECAR,700,"159,870","severe weather, wind",12:30:00,13:50:00
1440,Major Transmission Distribution System Interruption,2004,10/28/2004,10/28/2004,Pacific Gas and Electric  Company,"San  Jose, California",WECC,103,"59,458",transmission interruption,15:27:00,18:08:00
1441,Public Appeal/Breaker Failure and Fire,2004,10/25/2004,10/26/2004,Entergy Transmission,Southeastern Louisiana in the New Orleans area,SPP,-,-,"wild fire, public appeal",11:00:00,10:00:00
1442,Severe Storm with High Wind Gusts,2004,10/18/2004,10/20/2004,Pacific Gas and Electric  Company,Northern California,WECC,140,"407,440","severe weather, wind",22:30:00,09:00:00
1443,Breaker Failure,2004,10/10/2004,10/11/2004,Puerto Rico Electric Power Authority,Island Wide,PR,All,All,equipment failure,17:09:00,19:57:00
1444,Switch Error Concerning Breakers,2004,9/27/2004,9/27/2004,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,-,-,equipment failure,16:06:00,16:12:00
1445,Hurricane Jeanne,2004,9/27/2004,9/27/2004,Southern Company,Georgia,SERC,854,"85,455","severe weather, hurricane/tropical storm",08:00:00,14:00:00
1446,Hurricane Jeanne,2004,9/26/2004,9/30/2004,Orlando Utilities Commission,"Orlando and St. Cloud, Florida",FRCC,350,"110,000","severe weather, hurricane/tropical storm",03:00:00,09:00:00
1447,Hurricane Jeanne,2004,9/26/2004,10/1/2004,Progress Energy Florida,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,"1,800","722,000","severe weather, hurricane/tropical storm",06:00:00,00:00:00
1448,Hurricane Jeanne,2004,9/26/2004,9/27/2004,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,"1,250","285,300","severe weather, hurricane/tropical storm",02:00:00,00:00:00
1449,Hurricane Jeanne,2004,9/25/2004,9/26/2004,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,"26,000","severe weather, hurricane/tropical storm",17:00:00,09:00:00
1450,Hurricane Ivan,2004,9/17/2004,9/18/2004,Progress Energy -Carolinas,Western North Carolina,SERC,400,"112,000","severe weather, hurricane/tropical storm",04:30:00,12:00:00
1451,Hurricane Ivan,2004,9/16/2004,9/20/2004,Duke Energy Company/Duke Power Control Area,Western  North and South Carolina,SERC,500,"175,000","severe weather, hurricane/tropical storm",21:00:00,16:00:00
1452,Hurricane Ivan,2004,9/16/2004,9/16/2004,Alabama Electric Cooperative,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,263,"75,000","severe weather, hurricane/tropical storm",02:00:00,10:02:00
1453,Hurricane Ivan,2004,9/15/2004,9/17/2004,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,916,"916,316","severe weather, hurricane/tropical storm",19:00:00,19:00:00
1454,Hurricane Jeanne,2004,9/15/2004,09/23/04 12:00 p.m.,Puerto Rico Electric Power Authority,Whole Island of Puerto Rico,PR,"1,243","1,423,590","severe weather, hurricane/tropical storm",12:04:00,
1455,Hurricane Frances,2004,9/7/2004,9/8/2004,Georgia System Operations,Georgia,SERC,"2,200","150,000","severe weather, hurricane/tropical storm",10:00:00,12:00:00
1456,Hurricane Frances,2004,9/6/2004,9/9/2004,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,"3,000","99,000","severe weather, hurricane/tropical storm",13:00:00,12:00:00
1457,Hurricane Frances,2004,9/5/2004,9/9/2004,Orlando Utilities Commission,"Orlando, Florida",FRCC,200,"65,000","severe weather, hurricane/tropical storm",01:00:00,17:00:00
1458,Hurricane Frances,2004,9/5/2004,9/12/2004,Progress Energy Florida,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,"2,100","832,898","severe weather, hurricane/tropical storm",07:00:00,00:00:00
1459,Hurricane Frances,2004,9/4/2004,9/6/2004,Florida Power & Light,"West Palm Beach to Daytona Beach, Florida",FRCC,"6,000","2,775,093","severe weather, hurricane/tropical storm",08:00:00,08:00:00
1460,Hurricane Frances,2004,9/4/2004,9/12/2004,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,"1,100","268,000","severe weather, hurricane/tropical storm",10:00:00,19:00:00
1461,Hurricane Frances,2004,9/3/2004,9/5/2004,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,"26,000","severe weather, hurricane/tropical storm",21:00:00,14:00:00
1462,Tropical Storm Gaston,2004,8/30/2004,8/31/2004,Dominion - Virginia Power/North Carolina Power,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,150,"99,816","severe weather, hurricane/tropical storm",18:58:00,15:35:00
1463,Tropical Storm Gaston,2004,8/29/2004,8/29/2004,South Carolina Electric and Gas Company,Southeastern South Carolina,SERC,450,"125,000","severe weather, hurricane/tropical storm",,18:00:00
1464,Major Transmission Line Tripped due to Lightning Strike,2004,8/20/2004,8/20/2004,National Grid USA,"Boston, Massachusetts",NPCC,"22,700","380,000","severe weather, thunderstorm, transmission interruption",15:31:00,21:45:00
1465,Hurricane Charley,2004,8/14/2004,8/14/2004,Progress Energy - Carolinas,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,500,"94,000","severe weather, hurricane/tropical storm",13:00:00,23:00:00
1466,Hurricane Charley,2004,8/13/2004,8/13/2004,Tampa Electric Company,"Eastern Hillsborough, Polk County, Florida",FRCC,250,"78,000","severe weather, hurricane/tropical storm",16:43:00,20:24:00
1467,Hurricane Charley,2004,8/13/2004,8/14/2004,"Utilities Commission, City of New Smyrna Beach","New Smyrna Beach, Florida",FRCC,65,"23,000","severe weather, hurricane/tropical storm",22:04:00,16:23:00
1468,Hurricane Charley,2004,8/13/2004,8/23/2004,Progress Energy Florida,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",FRCC,"1,300","502,000","severe weather, hurricane/tropical storm",08:00:00,00:00:00
1469,Hurricane Charley,2004,8/13/2004,8/13/2004,Seminole Electric Cooperative,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC,700,"200,000","severe weather, hurricane/tropical storm",13:30:00,
1470,Hurricane Charley,2004,8/13/2004,8/13/2004,Florida Power & Light,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,FRCC,"1,400","1,200,000","severe weather, hurricane/tropical storm",15:00:00,23:00:00
1471,Two Large Units Tripped,2004,8/9/2004,8/9/2004,Puerto Rico Electric Power Authority,Whole Island of Puerto Rico,PR,451.7,"259,478",generator trip,08:23:00,11:10:00
1472,Fault at Barre Substation,2004,8/4/2004,8/4/2004,Southern California Edison,"Northwest Orange County, California",WECC,480,"182,000",equipment failure,12:46:00,13:50:00
1473,Severe Storm,2004,8/3/2004,8/4/2004,Commonwealth Edison,Northern Illinois,MAIN,127,"127,000","severe weather, storm",21:00:00,07:00:00
1474,Unplanned Generator Outage/High Loads Made Public Appeal,2004,8/2/2004,8/2/2004,Entergy Transmission,Southeast Texas,SPP,-,-,"generator trip, public appeal, load shedding",10:00:00,20:00:00
1475,Severe Storms,2004,7/25/2004,7/25/2004,Southern Company,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,61,"61,004","severe weather, storm",22:00:00,23:00:00
1476,Public Appeal,2004,7/24/2004,7/25/2004,Entergy Transmission,Southwest Louisiana in the Acadia Parish vicinity,SPP,-,-,public appeal,15:45:00,21:00:00
1477,Severe Thunderstorms,2004,7/21/2004,7/22/2004,Commonwealth Edison,"Chicago, Illinois",MAIN,Approx. 200,"200,000","severe weather, thunderstorm",17:30:00,19:00:00
1478,Wildfire,2004,7/20/2004,7/20/2004,Puerto Rico Electric Power Authority,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,200,"61,624",wild fire,15:44:00,17:51:00
1479,Wildfire/Shed Interruptible Load,2004,7/20/2004,7/21/2004,Southern California Edison,"Soledad Canyon near Acton, California",WECC,214,-,"wild fire, load shedding",14:26:00,02:00:00
1480,Severe Thunderstorms,2004,7/13/2004,7/17/2004,Cinergy Services,"West, West Central and Southern Indiana",ECAR,600,"135,000","severe weather, thunderstorm",16:30:00,08:00:00
1481,Units Tripped,2004,7/13/2004,7/13/2004,City of Tallahassee,"Leon  County, Florida",FRCC,283,"42,124",generator trip,13:34:00,17:15:00
1482,Severe Thunderstorms,2004,7/7/2004,7/7/2004,Dominion - Virginia Power/North Carolina Power,Central Virginia,SERC,120,"88,110","severe weather, thunderstorm",13:30:00,23:54:00
1483,Fire/Substation Multiple Public Appeals,2004,7/6/2004,8/9/2004,Salt River Project,"Metro Phoenix, Arizona",WECC,-,-,"wild fire, public appeal",06:00:00,12:00:00
1484,Fire/Substation Multiple Public Appeals,2004,7/6/2004,8/9/2004,Arizona Public Service,"Metro Phoenix, Arizona",WECC,-,-,"wild fire, public appeal",06:00:00,12:00:00
1485,Thunderstorms,2004,6/23/2004,6/23/2004,Southern Company,Georgia and Alabama,SERC,50,"50,595","severe weather, thunderstorm",19:00:00,20:00:00
1486,Load Shedding,2004,6/23/2004,6/23/2004,Idaho Power Company,Southern Idaho,WECC,157,"35,000",load shedding,17:35:00,19:10:00
1487,Fault on Line,2004,6/14/2004,6/14/2004,Arizona Public Service,"Phoenix, Arizona",WECC,200,"30,000",equipment failure,07:41:00,14:39:00
1488,Tornado,2004,6/12/2004,6/12/2004,Lincoln Electric System,"Lincoln, Nebraska",MAPP,428,"120,212","severe weather, tornado",17:37:00,17:41:00
1489,Severe Thunderstorms with Strong Winds,2004,6/2/2004,6/6/2004,American Electric Power,"Tulsa, Oklahoma",ECAR,280,"56,874","severe weather, thunderstorm",02:35:00,18:00:00
1490,Severe  Thunderstorms with Strong Winds,2004,6/2/2004,6/7/2004,American Electric Power,"Shreveport, Louisiana",ECAR,350,"59,057","severe weather, thunderstorm",01:46:00,16:00:00
1491,Severe Storms with Strong Winds,2004,6/1/2004,6/2/2004,TXU Electric Delivery,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas",ERCOT,"1,900","500,000","severe weather, wind",17:00:00,01:00:00
1492,Public Appeals,2004,5/28/2004,5/31/2004,Seminole Electric Cooperative,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal,12:00:00,00:00:00
1493,Public Appeals,2004,5/28/2004,5/31/2004,City of Tallahassee,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal,12:00:00,00:00:00
1494,Public Appeals,2004,5/28/2004,5/31/2004,Progress Energy Florida,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal,12:00:00,00:00:00
1495,Severe Thunderstorms,2004,5/21/2004,5/26/2004,American Electric Power,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",ECAR,303,"122,600","severe weather, thunderstorm",11:00:00,21:00:00
1496,Severe Thunderstorms,2004,5/21/2004,5/24/2004,Detroit Edison,Southeast Michigan,ECAR,630,"Greater than 250,000","severe weather, thunderstorm",16:00:00,20:00:00
1497,Severe Thunderstorms,2004,5/21/2004,5/25/2004,Consumers Energy,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",ECAR,200,"248,209","severe weather, thunderstorm",13:00:00,12:00:00
1498,High Winds and Heavy Rains,2004,5/21/2004,5/25/2004,Allegheny Power,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",MAAC,"60 at peak, total 162","94,366 at peak, total 225,353","severe weather, wind, rain",05:30:00,00:00:00
1499,Severe Thunderstorms,2004,5/21/2004,5/24/2004,Ohio Edison,Akron and Youngstown areas,ECAR,"133 on 5/21/04  between 3:00 a.m. and 4:00  a.m., 392 on 5/21/04 between 4:00 p.m. and 5:00 p.m.","281,000","severe weather, thunderstorm",02:00:00,00:00:00
1500,Severe Thunderstorms,2004,5/21/2004,5/24/2004,Cleveland Electric Illuminating Company,Cleveland area,ECAR,177 on 5/21/04 between 3:00 p.m. and 5:00 p.m.,"127,000","severe weather, thunderstorm",02:00:00,00:00:00
1501,Strong Thunderstorms,2004,5/11/2004,5/11/2004,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 85,"62,500 at peak","severe weather, thunderstorm",15:30:00,18:00:00
1502,Heat Storm,2004,5/3/2004,5/3/2004,Southern California Edison,Central and Southern California,WECC,662,Approx. 940,"severe weather, heat",14:30:00,19:00:00
1503,Strong Winds,2004,4/27/2004,4/30/2004,Snohomish County PUD #1,Snohomish County Washington,WECC,Approx. 300,"187,000","severe weather, wind",12:35:00,12:00:00
1504,Storm with High Winds,2004,4/12/2004,4/12/2004,Florida Power & Light,FPL's service territory mostly in Naples and Ft. Myers Florida,FRCC,250,"179,000","severe weather, wind",05:30:00,10:15:00
1505,Thunderstorms,2004,4/10/2004,4/11/2004,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 100,"85,000 at peak","severe weather, thunderstorm",20:00:00,16:00:00
1506,Faulty Switch,2004,3/17/2004,3/17/2004,El Paso Electric Company,"El Paso, Texas",WECC,Approx. 300,"Approx. 100,000",equipment failure,13:27:00,14:06:00
1507,Inadequate Resources,2004,3/8/2004,3/8/2004,Southern California Edison,Southern California not including LA,WECC,300,"Approx. 70,000",fuel supply emergency,18:22:00,18:55:00
1508,Severe Storm,2004,3/7/2004,3/9/2004,Duke Energy Company/Duke Power Control Area,North and South Carolina,SERC,"1,000","206,000","severe weather, storm",18:30:00,08:00:00
1509,High Winds - Severe Storm,2004,3/4/2004,3/16/2004,Electric Reliability Council of Texas,North Texas,ERCOT,Less than 300,"63,000","severe weather, wind",05:00:00,14:45:00
1510,Severe Storm,2004,2/26/2004,2/26/2004,Southern Company,Georgia,SERC,10,"47,165","severe weather, storm",00:00:00,01:30:00
