,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
72,Public Appeal to Reduce Electricity Usage,2014,2/7/2014,2/7/2014,American Electric Power,Texas,TRE,Unknown,Unknown,public appeal,16:50:00,20:30:00
73,Public Appeal to Reduce Electricity Usage,2014,2/7/2014,2/8/2014,ERCOT,ERCOT Region Texas,TRE,Unknown,Unknown,public appeal,16:30:00,09:00:00
74,Fuel Supply Emergency - Coal,2014,2/7/2014,3/21/2014,"Somerset Operating Company, LLC",Niagara County New York,NPCC,675,Unknown,"fuel supply emergency, coal",07:00:00,08:00:00
75,Fuel Supply Emergency - Natural Gas,2014,2/6/2014,2/6/2014,California ISO,California,WECC,"4,000",Unknown,"fuel supply emergency, natural gas",13:00:00,22:00:00
76,Public Appeal to Reduce Electricity Usage,2014,2/6/2014,2/6/2014,American Electric Power,Rio Grande Valley Texas,TRE,Unknown,Unknown,public appeal,13:58:00,20:40:00
77,Fuel Supply Emergency - Natural Gas,2014,2/6/2014,2/6/2014,Southern California Edison,California,WECC,611,Unknown,"fuel supply emergency, natural gas",14:15:00,19:39:00
78,Fuel Supply Emergency - Natural Gas,2014,2/6/2014,2/6/2014,Pacific Gas & Electric Co,Northern California,WECC,160,Unknown,"fuel supply emergency, natural gas",13:05:00,19:15:00
79,Public Appeal to Reduce Electricity Usage,2014,2/6/2014,2/7/2014,ERCOT,ERCOT Region Texas,TRE,Unknown,Unknown,public appeal,15:35:00,11:30:00
80,Severe Weather - Snow/Ice,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,Unknown,"144,000","severe weather, winter storm",01:00:00,20:40:00
81,Severe Weather - Snow/Ice,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,Unknown,"101,580","severe weather, winter storm",00:00:00,18:00:00
82,Severe Weather - Ice,2014,2/5/2014,2/5/2014,Baltimore Gas & Electric Company,"Baltimore, Maryland",RFC,800,"181,000","severe weather, winter storm",08:05:00,08:06:00
83,Fuel Supply Emergency - Coal,2014,2/5/2014,2/23/2014,Upstate New York Power Producers,New York,NPCC,300,Unknown,"fuel supply emergency, coal",07:00:00,07:00:00
84,Severe Weather - Snow/Ice,2014,2/5/2014,2/5/2014,Exelon Corporation/PECO,Pennsylvania,RFC,Unknown,"715,000","severe weather, winter storm",05:00:00,05:01:00
85,Severe Weather - Snow/Ice,2014,2/5/2014,2/7/2014,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,Unknown,"62,159","severe weather, winter storm",07:35:00,04:03:00
86,Physical Attack - Vandalism,2014,1/30/2014,Unknown,Tucson Electric Power,Arizona,WECC,Unknown,Unknown,"vandalism, physical",15:00:00,
87,Physical Attack - Vandalism,2014,1/29/2014,1/29/2014,Madison Gas and Electric,Unknown,MRO,Unknown,Unknown,"vandalism, physical",16:00:00,16:44:00
88,Public Appeal due to Severe Weather - Cold,2014,1/27/2014,1/28/2014,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold",14:20:00,21:00:00
89,Physical Attack,2014,1/26/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,"vandalism, physical",23:00:00,
90,Physical Attack - Vandalism,2014,1/26/2014,1/27/2014,PacifiCorp,Oregon,WECC,,,"vandalism, physical",21:00:00,11:00:00
91,Physical Attack - Vandalism,2014,1/25/2014,1/25/2014,Madison Gas and Electric,"Madison, Wisconsin",MRO,Unknown,Unknown,"vandalism, physical",10:00:00,11:00:00
92,Physical Attack - Vandalism,2014,1/24/2014,1/24/2014,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",15:30:00,17:00:00
93,Fuel Supply Emergency - Coal,2014,1/24/2014,4/9/2014,We Energies,Wisconsin,RFC,Unknown,Unknown,"fuel supply emergency, coal",00:00:00,11:53:00
94,Physical Attack - Vandalism,2014,1/23/2014,1/24/2014,Tacoma Power (TPWR),"Wynoochee, Washington",WECC,Unknown,Unknown,"vandalism, physical",21:17:00,17:00:00
95,Public Appeal due to Severe Weather - Cold,2014,1/23/2014,1/24/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",16:00:00,12:00:00
96,Public Appeal due to Severe Weather - Cold,2014,1/23/2014,1/24/2014,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",04:00:00,12:00:00
